,0
222,"المستشفى ولكني حتى الآن لم أتمكن من عملها، لو كنت مر رضا ولا أشعر بالمرض لم أكن لأ فعل ذلك نظرا
لتوقف العمل ومصاريف الأسرة التي تركتها و رالي، ولكن الرض يقتلني
أرسلت لأحد أعضاء المجلس القومي لحقوق الإنسان بما جرى معي، فأبلفني بأن علي أن أتقدم بشكوى إلى
المجلس وأكتب فيها كل التفاصيل، ولم يكن أمامي سوى أن تذهب أمي التي تبلغ من العمر أكثر من ستين
عاما، والتي تحولت حياتها إلى تجهين متطلباتي رافل السجن والوقوف أمام أبواب السجن بالساعات كي تراني
رقائق معدورة، لكن لم يكن في الأمر جديد.
حدث أن ذهبت إلى مستشفى القصر العيني ولم يطلع الدكتور على الإشارات نظر لي وكتب في الأوراق
عورة مرة أخرى نظرا للزهام، ومرة ثانية كتب أنه يوجد عطل في وحدة المناظير .
اكتشفت مؤخرا أنه يوجد ""ورم في الكلى قد يؤري بحياتي إلى المنتهى، و ما زال الأمر يتضخم و ما زال
المرض يزرار يوميا.
زاد الطين بله أن إدارة السجن أخبرتني بأنه تم اعتمار أوراقي ليتم نقلي من سجن طره إلى سجن المنيا الذي
يبعد عن مكان سكني نحو 300 كيلو ، ليزيد ألم أمي التي تولت رعاية أولاد ورعايتي بعد أن أصيبت
زوجتي ممرض نفسي بعد أن حكم علي بالسجن وبعد أن كانت واثقة في أنني سأحصل على البراءة، من يمكنه
أن يتحمل كل هذه المعاناة؟ وبأي ذنب تعاقب أمي، وبأي ذنب تصاب زو جتي مريض نفسي، وبأي ذنب -حرم
أولادي من أبيرام وأمرهم؟
أكتب لكل مسئول في قلبه رحمة، لا أريد سوى العلاج رأفة بأرواح الناس، وألا يتم ترحيلي إلى سجن المنيا
رأفة بحال أمي .وأرعو الله ألا يمر أحدا بما مررت به.
http://bit.do/c3qnh"
223,"المعتقلون بسجن شبين الكوم
""الوطن أصبح سجن كبيرا بلا عنوان معروف لزنزانته ولا اسم رسمي لسجنه ولا تهمة واضحة المساجينه
والذي أصبح نقار إليه فجر معصوبي العينين محاطين مجهولين يقو رونا إلى جهة مجهولة، شرف ليس في
متناول كبار المجرمين .. هل يتوقع يوما شاب بحراسته و عنفوانه وأهلا مه أنه سيأتي يوم عصيب کہنا؟ -جرد
فيه من ثيابه و حتى ساعته وأشيائه ويزج في زنزانة فردية باسم الثورة بعد أن ينال حظه الوافر من حفلات
التعذيب والصعق بالكهرباء؟ وكأننا عدنا إلى أيام الاختفاء القسري و تحقيقات أمن الدولة ولا ظو غلي !
الأوضاع راخل السجون سيئة للغاية وراخل سجن شبين الكوم أسوأ بكثير... نعيش وكأننا أموات منسيين من
الكتاب"".
""يستيقظ الواحد منا كل صباح على أصوات الضرب والصراخ والسباب والشتائم يقوم بها الضابط ( محمد
الحوام) وزبانيته للمعتقلين بعد أن يطلب منهم أن يسجد وا ويركعوا له تعظيما و تبجيلا ، وإذا كان قرارك
الرفض أصبح مصيرك التعذيب وارفالك مع الجنائيين (العنبركة)، تلك الفرقة التي لا يوجد بها حمام
و يقوموا بإخراجك كل صباح حتى تقضي حاجتك أمام أعين المخبرين، وكان آخر الضحايا الشاب محمود
هيدر الذي رفض خلع حذائه عند رغوله ضابط محمد الحوام وامتنع عن السجور والركوع، لا يعلم أحد
منا عنه شيئا حتى الآن .. كان هذا منذ عشرة أيام...نقضي راهل الزنزانة ٢٣ ساعة يوميا ليس لنا إلا ساعة
واحدة للتهوية تخرج في مكان لا يسع لان يسير فيه اثنان متجاوران بعد أن تستيقظ لتجد نفسك تفترش
الأرض بالا غطاء تحميك من بدر الشتاء ولا شيء يقيك الصقيع .. ممنوع أنت من كل شيء حتى سبل المعيشة
البسيطة واذا حاولت التحدث والطالبة بالحد الأدنى من حقوقك يقال لك (أنت سجون) وكأن مصيرك
التعذيب والتنكيل..
""أما عن الزيارة في سجن في سجن شبين فلعل أهلنا أبلغ في وصفها ووصف ما يحدث فيها وما يلاقون من
تعنت وسباب ونتائم، أتذكر ذلك اليوم الذي قال فيه ( الحوام) - الضابط محمد الحوام - أن أهلكم مجرر
رخولهم السجن يصبحون ملكي فهم مساجين أفعل برام ما أشاء وما يحلو لي!.. ممنوع أنت في الزيارة من كل
شيء و هتى من أرنى حقوقك، ممنوع من صافحتهم (قاصدا زوي المعتقلين)، ممنوع من أن تحمل صغيرك،
ممنوع من أن تقبل يد أبيك وأمك،، ممنوع من كل شيء لأنك تزور من خلف سلك ..على كل زائر اثنان من
المخبرين وكأنهم هم من يزوروك لا أهلك !"" .. لا تملك إلا أن ترفن أو جاعك وآلامك بداخلك أثناء
الزيارة حتى لا تشعرهم بالحزن والأسى عليك .. تحاول أن تقنعهم رائما أنك بخير حال، عشر دقائي هو وقت"
224,"الزيارة عليك أن تفعل فيها كل شيء من اطمئنان و سلام باللسان و طمأنتهم عليك و تكذيبك لما يقال في
الإعلام من تعرضك للتعذيب حتى لا تقلقهم عليك، ثم تسب من أما ماهم حين ينتهي الوقت وكأنك
تسب إلى مقصلة الإعدام"".
و تأمل الرسالة مطورها: ""أما عن أحوال الطلبة فحدث ولا حرج بداية من قد و ماهم للامتحان مرد را بما
يتعرضون له أثناء دخولهم من ضرب و تنكيل وسباب ومصادرة ملا بسرام و متعلقاتهم الشخصية حتى كتبهم
الدراسية ولا يتم إرسالها إلا قبل امتحان المارة بيوم . ثم مرور على العنبوكة وانزالام العرض أمام الحوام
محمد الحوام - ليكون مصيرهم تصير حيدر - الشاب مصطفی حیدرا
هيدر - الشاب مصطفى حيدر المختفي منذ عشرة أيام - إذا امتنعوا عن
)
لسجور والہ لوح کی متى قدم اعتذار وفضل العورة سجن العقرب والهروب من أحوال سجن شبين
وما أن رأى
الكوم وكأنهم يعاقبون الطلبة على أشكالهم لدراستهم و رفولهم الامتحانات "" .
واسطه روا: نحن معرضون في أي وقت ليكون منا الضحية الثالثة، بعد كل هذا العذاب والحياة البائسة التي
نعيش فيها قمنا بإضراب عن كل شيء ( الطعام واستلام التعيين والتهوية ) ، وقام البعض بإضراب عن
الطعام وهم يدخلون حاليا يو مهم الرابع وقد سقط بعضهم في إغماءات ونهبوا بهم إلى المستشفى
ور فضوا أن يوقعوا لهم محاضه بما حدث معهم وإعطائهم محاليل وأعاد تراهم ولا زالوا مستمرين (في
الإضراب)"".
""الوضع سيء جدا من أي سجن أخر، نعيش وكأننا معزولين عن العالم الخارجي،، وكأننا منسيين من الكتاب ،،
و مستثنون من الحياة ..الألم يحط من كل جانب واليأس يلفنا و ينهش بعضنا .. لا تنسوا إخوانكم الأحرار
رافل سجن شبين الكوم والسجون الأخرى، ولا نكم مشغولون حتى عن أنفسكم سند عوا لكم،، فهل تملكون
رقيقة للدعاء لنا؟ !""
http://bit.do/c4JFD"
225,"رسائل السجن
ليس المهم من يقتل أو يحبس المم أن تـتمروا .
فلابد للثوار أن يملكون الأرض ضجيجاءكى لا ينام العالم بتقله على جثة لفقراء
لا يهم ألق سيهون عادات النساطرة
متارفاقا
محمد السعيد
/ ٢٠١٧ المعاني
-تراس-وصناير-صرية
عتقلى الأرض بدمياط
الذكرى صورة من صور اللقاء، والنسيان صورة من صور الحرية
(جبران خليل جبران)
ثماني سنوات تكتمل لتفصلنا عن نسمة الحرية الأولى .
ثماني سنوات تمر، وسوف تفعل من غير توقف، تؤكد اتساع المسافة بيننا وبين الطريق .. مع كل سنة -خفت
الصوت أكثر، ويضعف وقع الكلمة ""الشارع لنا "".
هؤلاء، أصحاب الرسائل، لم يفقدوا الاتجاه، ولم يسيروا في طريق لا يعرفهم، يبعثون رسائلام
نحن الخائفين، يرسلونها كعلامات طریق تحرص على أن نصل بسلام .
الألم في كلماتهم، تماما كما الأمل، والمحبة ، والغضب، و حتى الحزن، كله أصيل، كله صادي ... في الحقيقة،
رسائل هم هذه تحرر أرواحنا نحن المعتقلي .
جتمعت رسائلهم لتكون ماجرا يمنع عنا ألم الحرية الزائفة، حرية النسيان .
طمئن"
226,"يناير
محمد قدري ثابت
السجين على ذمة القضية رقم 2267 لسنة 2013 والمعروفة أعلاميا بأحداث إقتحام قسم التبين، أعمل
فني شبكات محمول، وحاصل على ليسانس حقوق
""السلام عليكم ورحمة الله وبركاته ..
أكتب لكم من داخل السجن بعد شعوري بأن كل السبل قد ضاقت لي، وبعد أن حكم علي بعشرة أعوام سجن،
وخمسة أعوام مراقبة أمنية، وبعد أن قضيت في السجن شهر وثلاثة أعوام، حيث قبض علي من 20 ريسمبر
2013، باتهامات باطلة وبسبب خصومة بيني وبين ضابط مباحث، فأقسم بالله أنني لم أشارك في أي عمل
يؤزي وطني أو يؤزي أبنائه، لقد عشقت تراب هذا الوطن، وكرهت كل من يحاول معاراته، ولم أنتمي يوما
إلى حزب سياسي أو جماعة رينية، كل ما في الأمر أني أرفع ثمن شهارة هو ضد ضابط في واقعة تلفيق تهمة
لأحد الجيران وكان منهما في قضية اقتحام قسم التبين، وبعد حوالي 3 أشهر من اقتحام القسم فوجئت
بالنيج باسمي في نفس القضية؛ خصومة بينك وبين ضارط كفيلة بأن تزيح بك في السجن مائة عام.
كنت واثقا في أن العدل موجود، وواثقا في أنه لا يمكن لقاض عادل أن أعطه كل تفاصيل القضية الملفقة
ضدي و تفاصيل الخصومة أن يحكم علي بالسجن يوما واحدا، ولكن القضاء لم ينصفني.
فلم يعد أمامي سوى أن أرسل هذه الرسالة صحفي سجن معي يوما كي ينشرها، لأنه سيكون أعلم بحالنا من
غيره، أكتب ولا أدري ماذا حدث بعدها، لعل الله يحدث بعد ذلك أمرا .
قررت أن أستسلم لقدري، وأن أنظر قضاء الله الذي لا يرضى بالظلم أبدا، وقررت وأن أتأقلم على أني
سامات في السجن عشرة أعوام وبعدها أذهب يوميا لقسم الشرطة خمسة أعوام، هذا إن كان في العمر بقية
و كتب الله لي أن أعيش كل هذه المرة، ولكن الأمر لم يتوقف عند هذا الظلم .
أعاني من مظلوميات أخرى، فالتي الصحية تنحدر، أقسم لكم أني قضيت عاما في سجن أبي زعبل كنا نشرب فيه
ماء الصرف الصحي، فكانت المياه رائحتها كريهة تدل على أنها ممزوجة بمياه الصرف الصحي، ونعت الإدارة
حينها في إدخال فلاتر المياه من رون سبب واضح، وكانت النتيجة أن أصبت بعدد حصوات في الكلى وصلت
حجم الواحد منها 3 سم، رضيت أرضا بما جرى، وليس أمامي سوى الرضا بقضاء الله؛ و تقدمت بطلب
لإجراء عملية منذ تسعة أشهر على حسابي الخاص، وددت أني سأتكفل بكل تفاصيلها وحتى صاريف الانتقال"
227,"المستشفى ولكني حتى الآن لم أتمكن من عملها، لو كنت مر رضا ولا أشعر بالمرض لم أكن لأ فعل ذلك نظرا
لتوقف العمل ومصاريف الأسرة التي تركتها و رالي، ولكن الرض يقتلني
أرسلت لأحد أعضاء المجلس القومي لحقوق الإنسان بما جرى معي، فأبلفني بأن علي أن أتقدم بشكوى إلى
المجلس وأكتب فيها كل التفاصيل، ولم يكن أمامي سوى أن تذهب أمي التي تبلغ من العمر أكثر من ستين
عاما، والتي تحولت حياتها إلى تجهين متطلباتي رافل السجن والوقوف أمام أبواب السجن بالساعات كي تراني
رقائق معدورة، لكن لم يكن في الأمر جديد.
حدث أن ذهبت إلى مستشفى القصر العيني ولم يطلع الدكتور على الإشارات نظر لي وكتب في الأوراق
عورة مرة أخرى نظرا للزهام، ومرة ثانية كتب أنه يوجد عطل في وحدة المناظير .
اكتشفت مؤخرا أنه يوجد ""ورم في الكلى قد يؤري بحياتي إلى المنتهى، و ما زال الأمر يتضخم و ما زال
المرض يزرار يوميا.
زاد الطين بله أن إدارة السجن أخبرتني بأنه تم اعتمار أوراقي ليتم نقلي من سجن طره إلى سجن المنيا الذي
يبعد عن مكان سكني نحو 300 كيلو ، ليزيد ألم أمي التي تولت رعاية أولاد ورعايتي بعد أن أصيبت
زوجتي ممرض نفسي بعد أن حكم علي بالسجن وبعد أن كانت واثقة في أنني سأحصل على البراءة، من يمكنه
أن يتحمل كل هذه المعاناة؟ وبأي ذنب تعاقب أمي، وبأي ذنب تصاب زو جتي مريض نفسي، وبأي ذنب -حرم
أولادي من أبيرام وأمرهم؟
أكتب لكل مسئول في قلبه رحمة، لا أريد سوى العلاج رأفة بأرواح الناس، وألا يتم ترحيلي إلى سجن المنيا
رأفة بحال أمي .وأرعو الله ألا يمر أحدا بما مررت به.
http://bit.do/c3qnh"
228,"المعتقلون بسجن شبين الكوم
""الوطن أصبح سجن كبيرا بلا عنوان معروف لزنزانته ولا اسم رسمي لسجنه ولا تهمة واضحة المساجينه
والذي أصبح نقار إليه فجر معصوبي العينين محاطين مجهولين يقو رونا إلى جهة مجهولة، شرف ليس في
متناول كبار المجرمين .. هل يتوقع يوما شاب بحراسته و عنفوانه وأهلا مه أنه سيأتي يوم عصيب کہنا؟ -جرد
فيه من ثيابه و حتى ساعته وأشيائه ويزج في زنزانة فردية باسم الثورة بعد أن ينال حظه الوافر من حفلات
التعذيب والصعق بالكهرباء؟ وكأننا عدنا إلى أيام الاختفاء القسري و تحقيقات أمن الدولة ولا ظو غلي !
الأوضاع راخل السجون سيئة للغاية وراخل سجن شبين الكوم أسوأ بكثير... نعيش وكأننا أموات منسيين من
الكتاب"".
""يستيقظ الواحد منا كل صباح على أصوات الضرب والصراخ والسباب والشتائم يقوم بها الضابط ( محمد
الحوام) وزبانيته للمعتقلين بعد أن يطلب منهم أن يسجد وا ويركعوا له تعظيما و تبجيلا ، وإذا كان قرارك
الرفض أصبح مصيرك التعذيب وارفالك مع الجنائيين (العنبركة)، تلك الفرقة التي لا يوجد بها حمام
و يقوموا بإخراجك كل صباح حتى تقضي حاجتك أمام أعين المخبرين، وكان آخر الضحايا الشاب محمود
هيدر الذي رفض خلع حذائه عند رغوله ضابط محمد الحوام وامتنع عن السجور والركوع، لا يعلم أحد
منا عنه شيئا حتى الآن .. كان هذا منذ عشرة أيام...نقضي راهل الزنزانة ٢٣ ساعة يوميا ليس لنا إلا ساعة
واحدة للتهوية تخرج في مكان لا يسع لان يسير فيه اثنان متجاوران بعد أن تستيقظ لتجد نفسك تفترش
الأرض بالا غطاء تحميك من بدر الشتاء ولا شيء يقيك الصقيع .. ممنوع أنت من كل شيء حتى سبل المعيشة
البسيطة واذا حاولت التحدث والطالبة بالحد الأدنى من حقوقك يقال لك (أنت سجون) وكأن مصيرك
التعذيب والتنكيل..
""أما عن الزيارة في سجن في سجن شبين فلعل أهلنا أبلغ في وصفها ووصف ما يحدث فيها وما يلاقون من
تعنت وسباب ونتائم، أتذكر ذلك اليوم الذي قال فيه ( الحوام) - الضابط محمد الحوام - أن أهلكم مجرر
رخولهم السجن يصبحون ملكي فهم مساجين أفعل برام ما أشاء وما يحلو لي!.. ممنوع أنت في الزيارة من كل
شيء و هتى من أرنى حقوقك، ممنوع من صافحتهم (قاصدا زوي المعتقلين)، ممنوع من أن تحمل صغيرك،
ممنوع من أن تقبل يد أبيك وأمك،، ممنوع من كل شيء لأنك تزور من خلف سلك ..على كل زائر اثنان من
المخبرين وكأنهم هم من يزوروك لا أهلك !"" .. لا تملك إلا أن ترفن أو جاعك وآلامك بداخلك أثناء
الزيارة حتى لا تشعرهم بالحزن والأسى عليك .. تحاول أن تقنعهم رائما أنك بخير حال، عشر دقائي هو وقت"
229,"الزيارة عليك أن تفعل فيها كل شيء من اطمئنان و سلام باللسان و طمأنتهم عليك و تكذيبك لما يقال في
الإعلام من تعرضك للتعذيب حتى لا تقلقهم عليك، ثم تسب من أما ماهم حين ينتهي الوقت وكأنك
تسب إلى مقصلة الإعدام"".
و تأمل الرسالة مطورها: ""أما عن أحوال الطلبة فحدث ولا حرج بداية من قد و ماهم للامتحان مرد را بما
يتعرضون له أثناء دخولهم من ضرب و تنكيل وسباب ومصادرة ملا بسرام و متعلقاتهم الشخصية حتى كتبهم
الدراسية ولا يتم إرسالها إلا قبل امتحان المارة بيوم . ثم مرور على العنبوكة وانزالام العرض أمام الحوام
محمد الحوام - ليكون مصيرهم تصير حيدر - الشاب مصطفی حیدرا
هيدر - الشاب مصطفى حيدر المختفي منذ عشرة أيام - إذا امتنعوا عن
)
لسجور والہ لوح کی متى قدم اعتذار وفضل العورة سجن العقرب والهروب من أحوال سجن شبين
وما أن رأى
الكوم وكأنهم يعاقبون الطلبة على أشكالهم لدراستهم و رفولهم الامتحانات "" .
واسطه روا: نحن معرضون في أي وقت ليكون منا الضحية الثالثة، بعد كل هذا العذاب والحياة البائسة التي
نعيش فيها قمنا بإضراب عن كل شيء ( الطعام واستلام التعيين والتهوية ) ، وقام البعض بإضراب عن
الطعام وهم يدخلون حاليا يو مهم الرابع وقد سقط بعضهم في إغماءات ونهبوا بهم إلى المستشفى
ور فضوا أن يوقعوا لهم محاضه بما حدث معهم وإعطائهم محاليل وأعاد تراهم ولا زالوا مستمرين (في
الإضراب)"".
""الوضع سيء جدا من أي سجن أخر، نعيش وكأننا معزولين عن العالم الخارجي،، وكأننا منسيين من الكتاب ،،
و مستثنون من الحياة ..الألم يحط من كل جانب واليأس يلفنا و ينهش بعضنا .. لا تنسوا إخوانكم الأحرار
رافل سجن شبين الكوم والسجون الأخرى، ولا نكم مشغولون حتى عن أنفسكم سند عوا لكم،، فهل تملكون
رقيقة للدعاء لنا؟ !""
http://bit.do/c4JFD"
230,"رسائل السجن
ليس المهم من يقتل أو يحبس المم أن تـتمروا .
فلابد للثوار أن يملكون الأرض ضجيجاءكى لا ينام العالم بتقله على جثة لفقراء
لا يهم ألق سيهون عادات النساطرة
متارفاقا
محمد السعيد
/ ٢٠١٧ المعاني
-تراس-وصناير-صرية
عتقلى الأرض بدمياط
الذكرى صورة من صور اللقاء، والنسيان صورة من صور الحرية
(جبران خليل جبران)
ثماني سنوات تكتمل لتفصلنا عن نسمة الحرية الأولى .
ثماني سنوات تمر، وسوف تفعل من غير توقف، تؤكد اتساع المسافة بيننا وبين الطريق .. مع كل سنة -خفت
الصوت أكثر، ويضعف وقع الكلمة ""الشارع لنا "".
هؤلاء، أصحاب الرسائل، لم يفقدوا الاتجاه، ولم يسيروا في طريق لا يعرفهم، يبعثون رسائلام
نحن الخائفين، يرسلونها كعلامات طریق تحرص على أن نصل بسلام .
الألم في كلماتهم، تماما كما الأمل، والمحبة ، والغضب، و حتى الحزن، كله أصيل، كله صادي ... في الحقيقة،
رسائل هم هذه تحرر أرواحنا نحن المعتقلي .
جتمعت رسائلهم لتكون ماجرا يمنع عنا ألم الحرية الزائفة، حرية النسيان .
طمئن"
231,"يناير
محمد قدري ثابت
السجين على ذمة القضية رقم 2267 لسنة 2013 والمعروفة أعلاميا بأحداث إقتحام قسم التبين، أعمل
فني شبكات محمول، وحاصل على ليسانس حقوق
""السلام عليكم ورحمة الله وبركاته ..
أكتب لكم من داخل السجن بعد شعوري بأن كل السبل قد ضاقت لي، وبعد أن حكم علي بعشرة أعوام سجن،
وخمسة أعوام مراقبة أمنية، وبعد أن قضيت في السجن شهر وثلاثة أعوام، حيث قبض علي من 20 ريسمبر
2013، باتهامات باطلة وبسبب خصومة بيني وبين ضابط مباحث، فأقسم بالله أنني لم أشارك في أي عمل
يؤزي وطني أو يؤزي أبنائه، لقد عشقت تراب هذا الوطن، وكرهت كل من يحاول معاراته، ولم أنتمي يوما
إلى حزب سياسي أو جماعة رينية، كل ما في الأمر أني أرفع ثمن شهارة هو ضد ضابط في واقعة تلفيق تهمة
لأحد الجيران وكان منهما في قضية اقتحام قسم التبين، وبعد حوالي 3 أشهر من اقتحام القسم فوجئت
بالنيج باسمي في نفس القضية؛ خصومة بينك وبين ضارط كفيلة بأن تزيح بك في السجن مائة عام.
كنت واثقا في أن العدل موجود، وواثقا في أنه لا يمكن لقاض عادل أن أعطه كل تفاصيل القضية الملفقة
ضدي و تفاصيل الخصومة أن يحكم علي بالسجن يوما واحدا، ولكن القضاء لم ينصفني.
فلم يعد أمامي سوى أن أرسل هذه الرسالة صحفي سجن معي يوما كي ينشرها، لأنه سيكون أعلم بحالنا من
غيره، أكتب ولا أدري ماذا حدث بعدها، لعل الله يحدث بعد ذلك أمرا .
قررت أن أستسلم لقدري، وأن أنظر قضاء الله الذي لا يرضى بالظلم أبدا، وقررت وأن أتأقلم على أني
سامات في السجن عشرة أعوام وبعدها أذهب يوميا لقسم الشرطة خمسة أعوام، هذا إن كان في العمر بقية
و كتب الله لي أن أعيش كل هذه المرة، ولكن الأمر لم يتوقف عند هذا الظلم .
أعاني من مظلوميات أخرى، فالتي الصحية تنحدر، أقسم لكم أني قضيت عاما في سجن أبي زعبل كنا نشرب فيه
ماء الصرف الصحي، فكانت المياه رائحتها كريهة تدل على أنها ممزوجة بمياه الصرف الصحي، ونعت الإدارة
حينها في إدخال فلاتر المياه من رون سبب واضح، وكانت النتيجة أن أصبت بعدد حصوات في الكلى وصلت
حجم الواحد منها 3 سم، رضيت أرضا بما جرى، وليس أمامي سوى الرضا بقضاء الله؛ و تقدمت بطلب
لإجراء عملية منذ تسعة أشهر على حسابي الخاص، وددت أني سأتكفل بكل تفاصيلها وحتى صاريف الانتقال"
232,"المستشفى ولكني حتى الآن لم أتمكن من عملها، لو كنت مر رضا ولا أشعر بالمرض لم أكن لأ فعل ذلك نظرا
لتوقف العمل ومصاريف الأسرة التي تركتها و رالي، ولكن الرض يقتلني
أرسلت لأحد أعضاء المجلس القومي لحقوق الإنسان بما جرى معي، فأبلفني بأن علي أن أتقدم بشكوى إلى
المجلس وأكتب فيها كل التفاصيل، ولم يكن أمامي سوى أن تذهب أمي التي تبلغ من العمر أكثر من ستين
عاما، والتي تحولت حياتها إلى تجهين متطلباتي رافل السجن والوقوف أمام أبواب السجن بالساعات كي تراني
رقائق معدورة، لكن لم يكن في الأمر جديد.
حدث أن ذهبت إلى مستشفى القصر العيني ولم يطلع الدكتور على الإشارات نظر لي وكتب في الأوراق
عورة مرة أخرى نظرا للزهام، ومرة ثانية كتب أنه يوجد عطل في وحدة المناظير .
اكتشفت مؤخرا أنه يوجد ""ورم في الكلى قد يؤري بحياتي إلى المنتهى، و ما زال الأمر يتضخم و ما زال
المرض يزرار يوميا.
زاد الطين بله أن إدارة السجن أخبرتني بأنه تم اعتمار أوراقي ليتم نقلي من سجن طره إلى سجن المنيا الذي
يبعد عن مكان سكني نحو 300 كيلو ، ليزيد ألم أمي التي تولت رعاية أولاد ورعايتي بعد أن أصيبت
زوجتي ممرض نفسي بعد أن حكم علي بالسجن وبعد أن كانت واثقة في أنني سأحصل على البراءة، من يمكنه
أن يتحمل كل هذه المعاناة؟ وبأي ذنب تعاقب أمي، وبأي ذنب تصاب زو جتي مريض نفسي، وبأي ذنب -حرم
أولادي من أبيرام وأمرهم؟
أكتب لكل مسئول في قلبه رحمة، لا أريد سوى العلاج رأفة بأرواح الناس، وألا يتم ترحيلي إلى سجن المنيا
رأفة بحال أمي .وأرعو الله ألا يمر أحدا بما مررت به.
http://bit.do/c3qnh"
233,"المعتقلون بسجن شبين الكوم
""الوطن أصبح سجن كبيرا بلا عنوان معروف لزنزانته ولا اسم رسمي لسجنه ولا تهمة واضحة المساجينه
والذي أصبح نقار إليه فجر معصوبي العينين محاطين مجهولين يقو رونا إلى جهة مجهولة، شرف ليس في
متناول كبار المجرمين .. هل يتوقع يوما شاب بحراسته و عنفوانه وأهلا مه أنه سيأتي يوم عصيب کہنا؟ -جرد
فيه من ثيابه و حتى ساعته وأشيائه ويزج في زنزانة فردية باسم الثورة بعد أن ينال حظه الوافر من حفلات
التعذيب والصعق بالكهرباء؟ وكأننا عدنا إلى أيام الاختفاء القسري و تحقيقات أمن الدولة ولا ظو غلي !
الأوضاع راخل السجون سيئة للغاية وراخل سجن شبين الكوم أسوأ بكثير... نعيش وكأننا أموات منسيين من
الكتاب"".
""يستيقظ الواحد منا كل صباح على أصوات الضرب والصراخ والسباب والشتائم يقوم بها الضابط ( محمد
الحوام) وزبانيته للمعتقلين بعد أن يطلب منهم أن يسجد وا ويركعوا له تعظيما و تبجيلا ، وإذا كان قرارك
الرفض أصبح مصيرك التعذيب وارفالك مع الجنائيين (العنبركة)، تلك الفرقة التي لا يوجد بها حمام
و يقوموا بإخراجك كل صباح حتى تقضي حاجتك أمام أعين المخبرين، وكان آخر الضحايا الشاب محمود
هيدر الذي رفض خلع حذائه عند رغوله ضابط محمد الحوام وامتنع عن السجور والركوع، لا يعلم أحد
منا عنه شيئا حتى الآن .. كان هذا منذ عشرة أيام...نقضي راهل الزنزانة ٢٣ ساعة يوميا ليس لنا إلا ساعة
واحدة للتهوية تخرج في مكان لا يسع لان يسير فيه اثنان متجاوران بعد أن تستيقظ لتجد نفسك تفترش
الأرض بالا غطاء تحميك من بدر الشتاء ولا شيء يقيك الصقيع .. ممنوع أنت من كل شيء حتى سبل المعيشة
البسيطة واذا حاولت التحدث والطالبة بالحد الأدنى من حقوقك يقال لك (أنت سجون) وكأن مصيرك
التعذيب والتنكيل..
""أما عن الزيارة في سجن في سجن شبين فلعل أهلنا أبلغ في وصفها ووصف ما يحدث فيها وما يلاقون من
تعنت وسباب ونتائم، أتذكر ذلك اليوم الذي قال فيه ( الحوام) - الضابط محمد الحوام - أن أهلكم مجرر
رخولهم السجن يصبحون ملكي فهم مساجين أفعل برام ما أشاء وما يحلو لي!.. ممنوع أنت في الزيارة من كل
شيء و هتى من أرنى حقوقك، ممنوع من صافحتهم (قاصدا زوي المعتقلين)، ممنوع من أن تحمل صغيرك،
ممنوع من أن تقبل يد أبيك وأمك،، ممنوع من كل شيء لأنك تزور من خلف سلك ..على كل زائر اثنان من
المخبرين وكأنهم هم من يزوروك لا أهلك !"" .. لا تملك إلا أن ترفن أو جاعك وآلامك بداخلك أثناء
الزيارة حتى لا تشعرهم بالحزن والأسى عليك .. تحاول أن تقنعهم رائما أنك بخير حال، عشر دقائي هو وقت"
